"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"33205",1287,4019,"31/8/2004 00:00:00",17,308,5.8,20.2,"Perca fluviatilis",35
"34614",1604,4174,"22/9/1991 00:00:00",33,10,7.2,17.3,"Barbatula barbatula",6
"20410",1010,2577,"23/9/1999 00:00:00",189,6.11,4.7,17.8,"Salmo salar",1
"1311",637,160,"3/11/1992 00:00:00",NA,NA,3.9,19.3,"Squalius cephalus",25
"22378",758,2838,"28/9/2005 00:00:00",90,15,6.2,17.9,"Squalius cephalus",35
"21089",1253,2669,"21/9/1994 00:00:00",147,8.39,4,19.1,"Salmo trutta fario",87
"14735",38,1773,"5/7/2006 00:00:00",16,79,4,18.4,"Perca fluviatilis",12
"36979",1891,4508,"6/9/1993 00:00:00",41,36,6.1,18.8,"Salmo trutta fario",2
"17280",907,2134,"30/9/1987 00:00:00",25,15,6,17.4,"Barbatula barbatula",7
"17803",951,2213,"18/9/1984 00:00:00",215,5.8,3.5,18.1,"Leuciscus leuciscus",60
"24747",782,3174,"27/9/2000 00:00:00",51,201.1,4.4,19,"Gasterosteus aculeatus",16
"9355",134,1132,"24/9/2003 00:00:00",15,13,4.4,18.2,"Lampetra planeri",5
"10494",247,1274,"25/4/2002 00:00:00",119,9,3.3,19.2,"Pungitius pungitius",17
"10837",241,1320,"31/5/1995 00:00:00",60,356,3.6,19.8,"Gobio gobio",3
"23219",826,2946,"18/10/2006 00:00:00",68,51.12,4.7,18.4,"Cottus gobio",86
"1279",669,156,"29/7/1991 00:00:00",NA,NA,3.8,19,"Phoxinus phoxinus",328
"20862",920,2637,"30/8/1995 00:00:00",34,6.78,5.9,17.9,"Phoxinus phoxinus",18
"16209",887,1974,"2/7/1985 00:00:00",22,14.5,6,18.6,"Salmo trutta fario",4
"30055",1355,3755,"30/8/1982 00:00:00",NA,NA,4.7,19.9,"Gobio gobio",55
"25095",840,3223,"29/8/1984 00:00:00",NA,624,4.7,19.4,"Esox lucius",2
"14549",167,1742,"19/9/2007 00:00:00",NA,NA,4.1,17.6,"Salmo trutta fario",1
"35752",1695,4360,"7/6/1983 00:00:00",17,77,6.5,19.4,"Barbatula barbatula",1
"3951",42,465,"26/6/1996 00:00:00",138,39,3,18.5,"Phoxinus phoxinus",17
"426",516,57,"19/9/1995 00:00:00",82,2,3.9,19.1,"Oncorhynchus mykiss",2
"1634",574,203,"31/1/1989 00:00:00",60,44,4,19.9,"Leuciscus leuciscus",9
"3680",454,432,"25/9/1997 00:00:00",41,454,4,19.7,"Alburnus alburnus",444
"5192",448,587,"23/5/2002 00:00:00",59,50,3.9,19.7,"Squalius cephalus",4
"4628",454,536,"7/9/1995 00:00:00",41,454,4,19.7,"Rutilus rutilus",38
"31125",1381,3843,"10/9/2002 00:00:00",13,893,5.9,20.2,"Barbus barbus",4
"33940",1382,4077,"21/6/2006 00:00:00",24,843,5.5,20.3,"Gobio gobio",26
"7810",472,907,"7/5/1996 00:00:00",31,414,4.9,20.8,"Anguilla anguilla",40
"13116",135,1567,"20/9/2005 00:00:00",43,26,4.1,18,"Lampetra planeri",2
"32096",1378,3927,"11/9/2001 00:00:00",122,66,5,19.8,"Rhodeus amarus",320
"23121",702,2937,"15/9/2005 00:00:00",55,46.79,6.2,18.1,"Gobio gobio",92
"22500",883,2853,"5/9/2006 00:00:00",75,19.93,5.7,18.3,"Barbatula barbatula",30
"39766",1755,4856,"30/9/1997 00:00:00",53,18,5.7,18.7,"Phoxinus phoxinus",1
"39134",1872,4785,"14/6/1996 00:00:00",9,52,6.8,19.1,"Barbatula barbatula",2
"3897",44,460,"20/6/1995 00:00:00",20,68,3.8,18.9,"Gymnocephalus cernuus",4
"19615",799,2472,"3/9/1996 00:00:00",51,43.21,5.9,18.1,"Salmo trutta fario",13
"13312",182,1594,"27/6/2006 00:00:00",16,135,4.3,18.7,"Esox lucius",5
"9913",323,1217,"28/3/1989 00:00:00",80,12,3.7,19.4,"Oncorhynchus mykiss",1
"20624",755,2606,"5/10/2000 00:00:00",8,142.8,5.6,18.4,"Squalius cephalus",125
"13450",622,1609,"16/6/2005 00:00:00",38,483,4.4,20.1,"Alburnus alburnus",72
"2571",8,307,"17/12/1987 00:00:00",80,2,3.2,18.7,"Gasterosteus aculeatus",3
